glob,github.com/dart-lang/glob,5.9,-1,9,2,0,10,-1,0,10,-1,0,10,10,7,10,0,6
graceful-readlink,github.com/zhiyelee/graceful-readlink,4.8,0,-1,0,0,10,-1,0,10,10,10,-1,10,0,10,0,0
graphviz,github.com/xflr6/graphviz,4.9,10,-1,0,0,10,-1,3,10,0,0,-1,10,10,7,0,0
har-validator,github.com/ahmadnassri/har-validator,5.5,0,-1,3,0,10,10,10,10,10,7,0,-1,0,-1,6,0
harfbuzz,github.com/harfbuzz/harfbuzz,6.1,2,10,-1,0,10,0,3,-1,10,10,10,0,0,7,10,10
has-ansi,github.com/chalk/has-ansi,4.5,-1,0,0,0,10,10,-1,10,0,10,0,9,10,0,-1,0
has-unicode,github.com/iarna/has-unicode,4.8,-1,0,0,0,10,-1,0,10,-1,10,0,10,10,10,0,0
hawk,github.com/hapijs/hawk,5.7,5,2,-1,0,10,0,10,-1,10,0,9,10,10,-1,0,6
hoek,github.com/hapijs/hoek,5.8,7,7,-1,0,10,10,0,-1,0,10,10,10,-1,0,0,10
hosted-git-info,github.com/npm/hosted-git-info,6.1,-1,2,7,0,10,-1,0,10,10,10,10,10,0,7,-1,0
http-signature,github.com/3846masa/http-signature,5.8,10,-1,0,0,10,10,-1,10,10,10,0,10,0,0,-1,0
iferr,github.com/shesek/iferr,4.8,-1,0,0,0,0,10,10,-1,10,10,10,-1,0,10,0,0
inflight,github.com/isaacs/inflight,5.1,0,3,-1,0,10,-1,-1,10,10,10,0,10,10,0,0,0
inherits,github.com/jsmini/inherits,4.8,0,-1,0,0,10,10,10,0,10,-1,10,10,0,-1,0,0
ini,github.com/gookit/ini,6.2,10,-1,7,0,10,10,10,-1,0,10,10,7,-1,0,0,0
init-package-json,github.com/isaacs/init-package-json,6.6,8,-1,2,0,10,-1,0,-1,10,10,10,10,0,10,7,-1
is-absolute,github.com/jonschlinkert/is-absolute,4.8,0,0,-1,0,10,-1,0,-1,10,10,0,10,10,10,0,0
is-builtin-module,github.com/sindresorhus/is-builtin-module,4.8,0,3,-1,0,10,0,10,0,-1,10,10,9,10,-1,0,0
is-my-json-valid,github.com/mafintosh/is-my-json-valid,5.2,0,-1,4,0,-1,10,0,10,10,0,10,-1,10,10,0,0
is-property,github.com/mikolalysenko/is-property,4.8,-1,0,0,0,10,-1,0,10,-1,10,10,10,0,10,0,0
is-relative,github.com/jonschlinkert/is-relative,4.8,0,0,-1,0,10,-1,0,-1,10,0,10,10,10,10,0,0
is-typedarray,github.com/hughsk/is-typedarray,4.8,0,0,-1,0,10,-1,0,10,0,-1,10,10,10,10,0,0
isarray,github.com/juliangruber/isarray,7.7,-1,3,5,10,2,-1,6,10,10,10,10,10,10,10,-1,0
isexe,github.com/isaacs/isexe,3.9,-1,0,0,0,-1,0,10,10,0,0,10,9,10,-1,0,0
isstream,github.com/rvagg/isstream,4.8,0,-1,0,0,-1,10,0,0,10,10,-1,10,10,10,0,0
java-common,github.com/arxanchain/java-common,5.2,0,-1,2,0,10,-1,3,0,10,-1,10,10,10,9,0,0
jce,github.com/takayama-lily/jce,4.5,0,0,-1,0,-1,10,0,10,10,10,0,0,-1,10,0,0
jju,github.com/rlidwka/jju,4.8,-1,0,0,0,10,-1,10,-1,10,10,0,0,10,10,0,0
jodid25519,github.com/meganz/jodid25519,5.2,0,-1,0,0,10,-1,0,0,10,10,10,-1,10,10,0,-1
jsbn,github.com/andyperlitch/jsbn,4.9,0,1,-1,0,10,10,-1,0,10,10,10,10,0,-1,0,0
json,github.com/koajs/json,7.4,-1,6,2,0,10,-1,10,10,10,10,10,10,10,-1,3,0
json-parse-helpfulerror,github.com/smikes/json-parse-helpfulerror,4.8,0,-1,0,0,10,-1,10,10,10,10,0,-1,10,0,0,0
json-schema,github.com/apigames-public/json-schema,5.8,4,-1,0,0,10,-1,6,10,-1,10,10,0,10,10,0,0
json-stringify-safe,github.com/isaacs/json-stringify-safe,4.8,0,-1,0,0,10,10,10,-1,10,0,10,10,-1,0,0,0
json5,github.com/aseemk/json5,6,-1,10,3,0,10,0,10,10,-1,10,10,10,0,0,-1,0
jsonfile,github.com/tgs/jsonfile,4.8,0,-1,0,0,-1,10,0,-1,10,10,10,0,10,10,0,0
