name, starcount, description, official
gilleslamiral/imapsync, 49, imapsync release 2.200, 
polinux/snmpd, 13, SNMP command-like ready (CentOS-7), 
exira/base, 2, Alpine Docker container., 
alreece45/phusion-mysql, 2, Simple MySQL container with auto-creating ad…, 
grycap/im, 2, Infrastructure Manager - IM, 
tailscale/tailscale, 38, Connect your devices and users together in y…, 
tsgkadot/docker-docfx, 2, For DocFX  with mono(.NET), 
ihciah/google-mirror, 3, Google Mirror in Docker (With user auth supp…, 
mxr576/apachesolr-5.x-drupal-docker, 4, Apache Solr 5.x Docker image for Drupal sear…, 
sharaku/usvn, 3, usvnを使用した Subversion + Subversion管理サ…, 
zrpaplicacoes/docker-in-node, 3, , 
ntninja/wordpress-postgresql, 2, WordPress, publishing platform – Including P…, 
wlsc/jenkins, 2, Latest automated Jenkins LTS builds., 
ggrandes/ubuntu32, 3, Ubuntu LTS (32bits), 
gelog/hadoop, 5, Use at your own risk., 
wedeploy/email, 2, Send emails in one click by using this power…, 
goharbor/harbor-portal, 7, , 
jumanjiman/duoauthproxy, 3, Duo Authentication Proxy, 
nfcore/sarek, 2, A Docker container for the nf-core/sarek pip…, 
cwoodcock/activiti, 4, Activiti BPM platform, 
orgoro/dlib-opencv-python, 3, A container based on python containing dlib …, 
ansible/awx_rabbitmq, 9, This container is derived from the official …, 
rijalati/robotframework-ride, 10, Robotframework IDE aka RIDE development envi…, 
rostooling/setup-ros-docker, 3, https://github.com/ros-tooling/setup-ros-doc…, 
lstcml/speedtest, 2, , 
bosh/bosh-lite, 5, bosh-lite packaged as a Docker image. could …, 
guacamole/guacamole, 306, Apache Guacamole is a clientless remote desk…, 
amqamq/phalcon, 3, Official PHP images extended by Phalcon and …, 
tutum/mysql, 35, Base docker image to run a MySQL database se…, 
cytopia/phpcs, 5, Alpine-based multistage-build version of php…, 
obvionaoe/ghz-web, 2, A slim docker image for running ghz-web, 
cybertec/pgwatch2, 12, Flexible self-contained PostgreSQL metrics m…, 
bitnami/minio, 42, Bitnami MinIO Docker Image, 
jekyll/builder, 12, Builder image, 
wiserain/flexget, 60, Docker image for running Flexget, 
wso2/wso2micro-gw, 6, A cloud native, developer centric and decent…, 
cwds/intake, 2, Intake Digital Service (front-end)., 
