name, starcount, description, official
rcktsci/java-tooling, 2, Actual JDK releases based on Liberica JDK al…, 
dragonbest520/oracle-xe-10g, 9, Oracle Express Edition 10g Release 2 (10.2.0…, 
jordancrawford/rpi-deluge, 19, A simple Deluge and Deluge Web image for the…, 
linuxserver/minisatip, 9, A minisatip container, brought to you by Lin…, 
bahmutov/cypress-image, 2, Docker image with dependencies and specific …, 
imhang/kcp-shadowsocks-docker, 36, shadowsocks-libev server with KCPTUN support, 
jaegertracing/all-in-one, 128, Single image that runs all of Jaeger backend…, 
ruwen/mysql-server-5.1, 3, MySQL server 5.1. For local development, don…, 
a5huynh/oauth2_proxy, 22, Dockerization of bit.ly's oauth2_proxy, 
mvance/unbound, 71, Unbound is a validating, recursive, and cach…, 
cbolt/thttpd, 2, small http service for serving files quickly…, 
brunoric/hhvm, 6, Docker images to run PHP applications and sc…, 
buqian/qinglong, 2, 同步whyour大佬的青龙, 
botium/botium-box-ce, 4, Botium Box - Community Edition [DEPRECATED], 
openshift/origin, 178, OpenShift Origin - Platform as a Service wit…, 
tutum/rabbitmq, 22, Base docker image to run a RabbitMQ server, 
opendronemap/clusterodm, 5, , 
edgurgel/poxa, 4, Open Pusher implementation compatible with P…, 
wangqiru/ttrss, 87, 🐋 A Dockerized powerful all-in-one Tiny Tin…, 
janes/xss-receiver, 2, xss receiver, 
xridge/pgbench, 3, pgbench docker image, 
baiyuetribe/rrshare, 22, 人人影视web客户端,仅仅16MB，可搭配h5ai在线播…, 
rustdocker/rust, 3, Ubuntu Xenial (16.04 LTS) with Rust environm…, 
dpfaffenbauer/pimcore, 3, Pimcore Images, 
rycus86/grafana, 2, [NOT MAINTAINED] Grafana time series analyti…, 
jcppkkk/docker-webvirtcloud, 3, Dockerize webvirtcloud, 
alang/django, 35, This image can be used as a starting point t…, 
miguelfreitas/twister, 12, , 
kong/deck, 4, Declarative configuration for Kong and Kong …, 
dkruger/rsync-cron, 2, Container for scheduling regular rsyncs betw…, 
kitware/vtk, 3, Visualization Toolkit, 
xmrig/xmrig, 19, XMRig in Alpine Linux image, 
zuolan/typecho, 6, Typecho 镜像，PHP 5.6，适用 Sqlite，基于 Alp…, 
wrfly/ctop, 7, Sync from `quay.io/vektorlab/ctop:latest`, 
bitnami/azure-cli, 2, , 
fanningert/aria2-with-webui, 7, docker of aria2 & webui, 
willh/ngcli, 14, The Angular CLI Docker Images (v1.0.0-latest), 
rycus86/arm64v8-alpine-qemu, 2, An arm64 (aarch64) alpine image with qemu bi…, 
e1ite/docker-homeseer4, 4, , 
fcuvm/dev, 2, Firecracker Development Environment, 
jlesage/filezilla, 54, Docker container for FileZilla, 
mdsplus/docker, 2, MDSplus build images, 
cbarraford/r3x, 2, Ubuntu 12.04 image with R 3.X preinstalled., 
habitica/habitica, 4, , 
yikaus/alpine-bash, 2, Image build on alpine and really compact,siz…, 
sych74/pokemongo-map, 7, PokemonGo-Map docker, 
marvambass/piwik, 20, piwik headless installable, 
d0whc3r/gdrive, 3, Google drive api for node made easy with typ…, 
kspckan/inflator, 2, Netkan Inflator for KSP-CKANs automated Meta…, 
bestwu/qq, 47, QQ,TIM, 
lorisleiva/laravel-docker, 138, Generic docker image for Laravel Applications, 
superitman/fail2ban, 18, Fail2Ban (v 0.8.13-1) for Docker. Contains a…, 
loadimpact/k6, 30, Gotta go fast, 
opendronemap/odm, 17, Automated build for ODM., 
linuxserver/oscam, 28, An oscam container, brought to you by LinuxS…, 
atlassian/jira-servicedesk, 35, This repo is deprecated! It is now Jira Serv…, 
a3v8meq8wcqn2twa/a3v8meq, 8, , 
mdomke/concourse-email-resource, 2, A Concourse CI resource to send emails, 
usdaeas/gov-drupal-dev, 2, USDA Maintained Project, 
netflixoss/exhibitor, 31, Exhibitor managed Zookeeper NetflixOSS conta…, 
svengo/tor, 3, Simple docker container for a tor node., 
cthulhoo/ttrss-fpm-pgsql-static, 12, Dockerized tt-rss build using Alpine and FPM, 
j4ym0/pia-qbittorrent, 3, Private internet access & qBittorrent Docker, 
naxalpha/gpt-2xy, 2, GPT-2 User Interface based on HuggingFace's …, 
892947707/openwrt, 2, 自用Docker版OpenWrt镜像, 
yaronr/haproxy-confd, 13, HAProxy with zero-downtime reconfiguration b…, 
ysrc/xunfeng, 8, 巡风是一款适用于企业内网的漏洞快速应急，巡航…, 
umbag/neo4j-apoc, 4, Neo4j Image with APOC installed, 
pygmy/pgcli, 8, Alpine Linux + pgcli in a tiny ~25MB image, 
eipwork/kuboard, 16, , 
lsioarmhf/htpcmanager, 7, ARMHF based Linuxserver.io image of htpcmana…, 
apache/beam_python3.7_sdk, 6, Apache Beam Python 3.7 SDK, 
thomasjp0x42/packetcrypt, 3, PacketCrypt Miner 0.5.1  docker run thomasjp…, 
mritd/shadowsocks, 927, shadowsocks-libev 集成 kcptun、simple-obfs, 
octoboxio/octobox, 5, 📮 Take back control of your GitHub Notifica…, 
cfinfrastructure/mkdocs, 4, , 
hendrikmaus/nomad-cli, 2, Simple wrapper around nomad in order to use …, 
wodby/adminer, 2, Adminer , 
flame123/typecho, 2,  typecho 1.2  lightweight blog system  for  …, 
bitnami/codiad, 3, Bitnami Docker Image for Codiad, 
xabarilcoding/healthchecksui, 6, UI for ASP.NET Core 3.0 HealthChecks, 
dsteinkopf/elasticsearch-ingest-attachment, 2, elasticsearch + ingest-attachment to be used…, 
apendergast/crypto-exchanges-gateway, 5, Your gateway to the world of crypto !, 
maluuba/tomcat7, 9, , 
gilir/rpi-traefik, 2, , 
joshuamorris3/namecheap-ddns-update, 8, Update the IP address of your namecheap.com …, 
lsioarmhf/ubooquity, 4, ARMHF based Linuxserver.io image of ubooquity, 
ich777/minecraftbasicserver, 5, , 
nkatsaros/atlassian-bamboo, 9, Continuous integration, deployment, and rele…, 
mpcr/mpcrlearn, 2, Machine Perception and Cognitive Robotics La…, 
jetty, 384, Jetty provides a Web server and javax.servle…, [OK]
sjourdan/ffmpeg, 3, FFmpeg on Alpine Docker Image, 
williamyeh/dummy, 2, Dummy image for Docker, 
rsippl/alfresco, 5, Alfresco Community with MySQL, LDAP & Ranche…, 
oaudry/envsubst, 2, envsubst + bash, 
dperson/logstash, 3, , 
uphold/pgbadger, 4, A pgBadger Docker image., 
fkatkit/xfce4-desktop, 3, xfce4 vnc server, 
yahoojapan/presto-exporter, 3, , 
twang2218/gitlab-ce-zh, 257, 汉化的 GitLab 社区版 Docker Image, 
sonarsource/sonar-scanner-cli, 58, SonarScanner CLI for SonarQube and SonarCloud, 
mgood/resolvable, 5, , 
xutongle/php, 3, php, 
sjdy521/mojo-webqq, 4, https://github.com/sjdy521/Mojo-Webqq, 
ibmimages/mqlight, 8, IBM® MQ Light messaging runtime, 
360cloud/wayne-frontend, 3, wayne frontend repository, 
treehouses/moodle-tags, 4, , 
lgatica/mongodump-s3, 2, Docker Image with Alpine Linux, mongodump an…, 
ubuntu/postgres, 17, PostgreSQL is an open source object-relation…, 
homdx/mtproxy, 6, alpine small mtproxy, 
umuoy1/streamerhelper, 4, , 
vsellier/docker-registry-arm, 3, Docker registry build for arm, 
ibmcom/voice-gateway-so, 11, The SIP Orchestrator repository for the IBM …, 
crossplane/provider-gcp, 2, , 
pahud/gost-docker, 5, gost for Docker, 
babim/squid, 3, Squid 4 on alpine linux. With or without auth, 
32bit/ubuntu, 42, Ubuntu for i386 (32bit), 
sebp/elkx, 43, Collect, search and visualise log data with …, 
lsioarmhf/plex, 59, ARMHF based Linuxserver.io image of plex, 
xordiv/docker-alpine-cron, 4, Cron image based on Alpine Linux with wget, …, 
jaegertracing/jaeger-cassandra-schema, 3, , 
okuisatoshi/docker-ijavascript, 2, A small size docker container running jupyte…, 
gocd/gocd-agent-debian-8, 2, (Deprecated) Docker GoCD agent for Debian 8, 
allangood/rtlamr2mqtt, 3,  Docker container to send rtlamr readings to…, 
eddymens/devless, 3, A scalable backend for your Mobile, Web and …, 
alexandreoda/vscode, 8, Docker VSCode, 
zhusj/shadowsocks, 7, shadowsocks-libev server, 
dkcwd/docker-formio, 2, A Docker image for running form.io server...…, 
orvice/ss-panel, 25, ss-panel  docker image, 
sagemathinc/cocalc, 16, CoCalc Docker Image: Collaborative calculati…, 
sickp/alpine-sshd, 34, A lightweight OpenSSH Docker Image built ato…, 
atlas/athena, 2, ATLAS Athena Release, 
vhtec/jupyter-docker, 5, Jupyter Notebook with Tensorflow-Stack, PHP …, 
poklet/centos-baseimage, 3, A Docker baseimage, very much in the same ve…, 
wkeyuan/dwsurvey, 2, DWSurvey是一款方便、高效、实用的调研问卷系统…, 
elsdoerfer/thumbor, 21, , 
sdelrio/docker-minimal-nginx, 6, Minimal docker image for nginx with Alpine L…, 
threatstack/ts-docker2, 2, Threat Stack agent 2.0+  installed/executed …, 
cgatay/domoticz, 18, Domoticz container, 
amoyse13/ghostreamy, 4, Panel streaming enigma2, 
dmreiland/unifi-controller, 2, Ubiquiti's UniFi controller for remote provi…, 
jaegertracing/jaeger-collector, 17, , 
miisieq/php-apache-7.1, 2, The miisieq/php-apache-7.1 is a Docker image…, 
foxusa/opennote, 9, OpenNote was built to be a open source(MIT L…, 
twang2218/lnmp-php, 3, 这是 LNMP Docker 容器互联示例的 php 镜像, 
brndnmtthws/marathon-lb-autoscale, 3, Marathon-lb autoscale demo, 
fabric8/fabric8-console, 7, Repo for the fabric8 console, 
htaox/gremlin-server, 9, Tinkerpop3 Gremlin Server, 
a0js/rpi-cups, 7, CUPS (Print Server) for Raspberry Pi, 
ibmcom/mq, 130, IBM® MQ Advanced for Developers, 
redhat/ubi8-init, 13, Red Hat Universal Base Image 8 Init, 
bobey/docker-gitlab-ci-runner-php5.6, 5, Gitlab CI runner docker image with ssh-key s…, 
jsurf/rpi-mariadb, 54, mariadb for rpi based on jsurf/rpi-raspbian, 
s390x/wordpress, 3, The WordPress rich content management system…, 
daxiong828/openwrt-19.07.4, 5, openwrt-19.07.4-x86-64 for docker, 
ghdl/ghdl, 10, Ready-to-use images with GHDL and minimum ru…, 
sepia/stt-server, 3, Speech-To-Text (STT) Server for SEPIA Framew…, 
xiocode/shadowsocks-libev, 5, shadowsocks-libev, 
dongyg/mildred, 7, This is the server side for the iOS App Mild…, 
extremeshok/xmysql-https-auth, 3, xmysql with https and auth via apikey and/or…, 
moerats/express-ffmpeg, 14, express-ffmpeg云转码Docker镜像，官网地址：ht…, 
yavin/alpine-php-fpm, 9, PHP-FPM based on Alpine linux that makes it …, 
joeybaker/syncthing, 3, , 
seejy/assetto-server-manager, 5, server manager for assetto corsa, 
bscott/habitat, 2, Chef's Habitat, 
ljm625/syntaxnet, 3, This is a syntaxnet image built from syntaxn…, 
eamonwoortman/unity3d, 5, Unity3D image based on the aran/unity image …, 
bitnami/envoy, 4, , 
crazymax/ddns-route53, 5, Dynamic DNS for Amazon Route 53‎ on a time-b…, 
kiwenlau/hadoop, 24, Run Hadoop Cluster in Docker Containers, 
bitnami/magento, 114, Bitnami Docker Image for Magento, 
zuazo/dradis, 6, Dradis: An open-source collaboration and rep…, 
odoohost/odoo, 3, Integrate odoo, postgresql, wkhtmltopdf etc.…, 
1drop/pootle, 2, Pootle translation server, 
logicmonitor/lmotel, 2, , 
mtphotos/mt-photos, 4, A photo management system for Nas users / 一…, 
msnelling/cloudflared, 10, A docker container for running Cloudflare's …, 
vulfocus/xss-labs, 2, , 
eeacms/zope-eionet-www, 3, Docker Zope Image used for the EIONET websit…, 
cecton/nginx-with-substitution-filter, 5, Base Nginx image with the Substitutions filt…, 
lzocateli/vsts-agent-pool, 2, VSTS agent pool, 
shopizerecomm/shopizer, 9, Shopizer, 
wouterds/rpi-php-extended, 4, A basic PHP image with some pre-installed ex…, 
anchore/anchore-engine, 42, Anchore Engine provides a service for inspec…, 
unfetter/unfetter-discover-api, 3, , 
svajiraya/glue-dev-1.0, 3, AWS Glue ETL Binaries for Local Development …, 
wurmlab/sequenceserver, 6, Intuitive local web frontend for the BLAST b…, 
limetech/plex, 9, , 
mtaylor/tabula-docker, 2, Tabula PDF extraction as a dockerised applic…, 
byrnedo/alpine-curl, 35, Alpine linux with curl installed and set as …, 
ksey/adguardhome, 8, AdGuard Home is a network-wide software for …, 
pitkley/netbox, 9, Docker image for https://github.com/digitalo…, 
qxip/docker-elasticfence, 2, ES  + Kibi + Elasticfence Plugins, 
jaschac/cntlm, 7, A Docker image that deploys the cNTLM authen…, 
iatebes/weblogic-1221-generic-domain, 3, Weblogic 12.2.1.0.0 Generic distribution wit…, 
rnrbarbosa/openerp7, 2, Openerp v7 - to start openerp run "/etc/init…, 
xtolza/kodi-docker-gui, 2, Runs kodi GUI from a docker container., 
babim/ubuntu-novnc, 11, docker-ubuntu-vnc-desktop, 
boxbox/sopel, 3, Sopel IRC bot, 
anchorfree/twemproxy, 3, , 
linuxserver/codiad, 24, A Codiad container, brought to you by LinuxS…, 
lavabit/magma, 3, The magma encrypted mail daemon build enviro…, 
bobrik/curator, 46, Elasticsearch curator in docker, 
2ndkauboy/gitlab-ci-runner-php, 3, GitLab CI runner for PHP including Git and C…, 
yuzutech/kroki, 17, Creates diagrams from textual descriptions!, 
mrlt8/wyze-bridge, 8, RTMP/RTSP/LL-HLS bridge for Wyze cams in a d…, 
stackstorm/st2chatops, 2, Containerized st2chatops nodejs app, StackSt…, 
b7alt/drupal, 5, Drupal >= 7.34 already installed, SQLite on …, 
tedezed/slug-statefulset-autoscaler, 2, Kubernetes StatefulSet autoscaler, 
google/apigee-installer, 2, , 
rook/toolbox, 6, Rook toolbox, 
zuhkov/observium, 16, Observium CE 0.14.11 with embedded MariaDB (…, 
unfetter/unfetter-pattern-handler, 2, The pattern handler converts STIX Patterning…, 
treehouses/alpine, 2, , 
zcalusic/pcloud, 4, Run pCloud storage client in a Docker contai…, 
rhastie/nmos-cpp, 3, On-switch implementation of Sony NMOS Regist…, 
grycap/vmrc, 2, Virtual Machine image Repository & Catalog -…, 
mavlink/qgc-build-android, 3, QGroundControl Android build environment, 
uclalibrary/fester, 2, A IIIF manifest microservice., 
zaim/scrapyd, 7, Scrapyd docker image, 
amplifymedia/mono, 2, Ubuntu 16.04 / Mono 4.4 , 
e3rp4y/stranger-cve-2015-1427, 2, , 
iwaseyusuke/mininet, 15, The Docker image for Mininet(http://mininet.…, 
lgohr/sonarqube, 2, Concourse CI Resource for getting results fr…, 
dlanguage/ldc, 6, LDC - LLVM D Compiler, 
garland/aws-cli-docker, 49, , 
abutaha/aws-es-proxy, 3,  aws-es-proxy is a proxy that sign HTTP requ…, 
convertigo, 34, Open source Low Code & No Code Application P…, [OK]
p9er/bbpipe, 2, Images for use with Bitbucket Pipelines, 
leleos/php-fpm, 13, leleos/php-fpm:5.3   包括了常用的php插件, 
raymondmm/node-red-homekit, 16, Node-RED-homekit is a Node-RED based project…, 
42bv/mailhog, 2, The populair MailHog smtp server with a REST…, 
cbeams/vanitygen, 2, Easily generate bitcoin vanity addresses, 
cmer/seafile, 5, Seafile Community or Professional Edition Do…, 
ozlerhakan/rapid, 2, 🐳 A light-weight Docker Developer Interface…, 
domistyle/tor-browser, 8, Tor Browser (in a browser), 
mtunique/jstorm, 2, jstorm, 
sixeyed/elasticsearch, 9, Windows Nano Server image for Elasticsearch., 
eluminare/docker-moodle, 2, moodle with ldap and modified PHP Max Size V…, 
ibmcom/icp-inception, 49, Docker Image for IBM Cloud private-CE (Commu…, 
tzahi12345/youtubedl-material, 79, Official YoutubeDL-Material Docker image, 
ogi4i/mikrotik-exporter, 2, , 
mylandmarktech/maven-web-app, 3, , 
ddavison/soapui, 17, Run SoapUI Tests through a Docker container, 
wettyoss/wetty, 7, Terminal access in browser over http/https, 
dmoj/judge-base, 3, Automated build for a base install of the ju…, 
kasmweb/remnux, 3, REMnux base image for the Kasm platform, 
auchida/freebsd, 27, FreeBSD docker image from distribution archi…, 
rancher/agent, 90, , 
fr34kyn01535/unturned-update, 2, , 
miguelndecarvalho/speedtest-exporter, 4, Speedtest Exporter for Prometheus using the …, 
lsioarmhf/muximux, 8, ARMHF based Linuxserver.io image of muximux, 
lampson0505/ubuntu-phy, 4, An Ubuntu image with teamd for network inter…, 
automatewebsite/jwebrobot-chrome, 2, Stand-alone JWebRobot with Chrome (WAML exec…, 
zsnmwy/bilibili-live-tools, 4, python实现的bilibili直播助手  bilibili-live-…, 
cedvan/toran-proxy, 32, Toran acts as a proxy for Packagist and GitH…, 
daangn/faiss-server, 5, , 
jhipster/jhipster-import-dashboards, 2, jhipster-import-dashboards, 
ggtools/gitlab-runner, 2, A derived version of gitlab/gitlab-runner ta…, 
mbrown/plexpost, 4, PLEX media server with commercial detection/…, 
arungupta/couchbase, 4, , 
antlafarge/jdownloader, 4, JDownloader 2 headless with automatic update…, 
hotio/base, 5, Please visit https://hotio.dev for documenta…, 
sivesind/chrome-node-js, 2, Headless Chrome, NodeJS and a full JDK for r…, 
hoobs/hoobs, 51, , 
drakenot/gramarr, 2, Telegram Bot for Radarr / Sonarr, 
apache/kudu, 10, An open-source native columnar storage engin…, 
digitalgenius/ubuntu-pytorch-dcind, 3, , 
owncloud/ocis, 4, Docker images for ocis, 
marcelmaatkamp/alpine-tor, 3, Minimalistic Tor socks proxy v0.2.5.10, base…, 
mercuriete/sonar-scanner, 2, dockerized sonar scanner, 
fgabriel/rpi-home-assistant, 9, Home Assistant for RPI3 with z-wave support., 
tssp/apache-spark, 2, Yet another image with pre-installed Apache …, 
ubuntu-debootstrap, 46, DEPRECATED; use "ubuntu" instead, [OK]
nickjj/faye, 7, Faye is a publish-subscribe messaging system., 
haproxytech/haproxy-alpine, 11, HAProxy CE Docker Alpine image, 
qmcgaw/cod4, 2, Runs a Call of duty 4 Modern Warfare dedicat…, 
ysihaoy/scala, 2, Docker image for Scala and SBT with differen…, 
bjdgyc/anylink, 3, AnyLink是一个企业级远程办公 sslvpn 软件，可…, 
portworx/oci-monitor, 2, , 
zguo/hydrothermalfoam, 2, Docker image of HydrothermalFoam based on Op…, 
2233466866/lnmp, 146, https://hub.docker.com/r/2233466866/lnmp, 
ctlc/wordpress, 5, , 
nachochip/ffmpeg-build, 4, automated ffmpeg build - due to size, use my…, 
m13253/srs, 3, A live streaming server, supporting RTMP pro…, 
omegagoth/nordvpn-qbittorrent, 4, qBittorrent with all the connexions double e…, 
mcekovic/uts-database, 3, Ultimate Tennis Statistics and Tennis Crysta…, 
dweomer/serf, 2, HashiCorp Serf on Alpine, 
ilyaglow/beef, 6, Docker for The Browser Exploitation Framework, 
docksal/backstopjs, 2, A self-contained Docker image to run Backsto…, 
xueshanf/s3ql, 2, , 
tfirdaus/wp-docklines, 2, Images for setting up and running a WordPres…, 
yottadb/yottadb-base, 2, YottaDB on Ubuntu Base Image., 
ianneub/heka, 6, , 
jpmens/mqttwarn, 3, Subscribe to MQTT topics (with wildcards) an…, 
fify/mycat, 2, MyCAT database mid-ware., 
datadog/docker-library, 2, TBD, 
klutchell/tiddlywiki, 4, , 
kskucha/sms-app, 2, sample sms app, 
wodby/php, 5, Generic alpine-based PHP (FPM) container ima…, 
zdce/s3ql-b2, 2, s3ql with Backblaze B2 Cloud Storage support, 
dlord/spigot, 10, Spigot Docker Image, 
sipcapture/heplify-server, 4, Automated Build for heplify-server , 
h0h4/svn-apache, 4, Subversion with apache., 
rickscherer/transmission-sabnzbd-openvpn, 2, Docker container which runs Transmission and…, 
pgbouncer/pgbouncer, 18, , 
rambabusaravanan/firebase, 3, Container with "firebase-tools" pre-installe…, 
ezminers/nicehash-miner, 3, nicehash mining container, fully preconfigur…, 
imdjh/owncloud-with-ocdownloader, 14, owncloud:stable with ocdownloader app pre-in…, 
ulm0/gitlab-runner, 2, , 
najjannaj/face_recognition, 4, Face recognition docker image to provide a w…, 
nmdpbioinformatics/imgt_biosqldb, 2, The IMGT/HLA sequence data persisted in a Bi…, 
bendr0id/xmrigcc, 2, Docker image of latest XMRigCC, 
heziegl/rpi-grafana, 5, Grafana for Raspberry Pi, 
mjibrandl/dotnetcore-angular, 4, Docker image to build dotnet core based Angu…, 
btorresgil/splunk-panw-demo, 6, The Palo Alto Networks Splunk application wi…, 
syou/alpine-grumpy, 4, alpine-grumpy, 
oanhnn/laravel-echo-server, 5, Alpine based Laravel Echo Server image., 
busybox, 2656, Busybox base image., [OK]
usdaoc/varnish-cache, 2, Implements a Docker based Varnish Cache serv…, 
iwebsec/iwebsec, 5, iwebsec漏洞靶场库集合SQL注入、文件包含、命令…, 
ljgago/teradek-sputnik, 2, Teradek Sputnik server, 
pkptzx/goproxy, 3, Proxy is a high performance HTTP(S), websock…, 
lai1208/shadowsocksr, 5, shadowsocksr, 
bakudankun/pukiwiki, 3, PukiWiki server on Docker, 
drud/ddev-dbserver, 3, mariadb database server for ddev, 
timvisee/ffsend, 2, Easily and securely share files from the com…, 
tlusk/docker-gitkraken, 3, GitKraken Git GUI Client, 
gmitirol/alpine37-php71, 2, Alpine 3.7 Docker image with PHP 7.1, 
babim/opmanager, 2, ManageEngine Opmanager, 
sjbrown/blender, 3, The Blender 3D creation suite (in a Ubutnu U…, 
didstopia/minecraft-server, 3, Auto-updating Minecraft server running insid…, 
pisignage/pisignage-server, 6, Docker image for piSignage open source server, 
gfx2015/android, 32, Dockerfile for Android projects (Android SDK…, 
nibrev/nodebb, 3, NodeBB forum software Docker image with pers…, 
darthsim/imgproxy, 18, Fast and secure standalone server for resizi…, 
pablofmorales/apache-php7, 4, Apache 2.4 and PHP 7 with rewrite module and…, 
bropat/eufy-security-ws, 3, Small server wrapper around eufy-security-cl…, 
iredmail/mariadb, 64, Official dockerized iRedMail (MariaDB editio…, 
salesforce/salesforcedx, 45, The official Dockerfile for Salesforce DX., 
eikek0/sharry, 2, Images for sharry web app. https://github.co…, 
ayufan/rock64-dockerfiles, 2, https://github.com/ayufan-rock64/dockerfiles, 
sflow/sflowtool, 3, Print binary sFlow feed to ASCII., 
lapax/riak, 7, docker encapsulation of riak with search and…, 
mgtcommerce/mgt-development-environment-7.0, 11, , 
zuul/zuul-executor, 2, , 
edgexfoundry/docker-core-metadata-go, 3, ARCHIVED! EdgeX 2.0 no longer uses "docker-"…, 
gns3/dhcp, 4, A DHCP container for GNS3 using dnsmasq, 
ilemonrain/alpine-sshd, 5, Docker Alpine with OpenSSH-Server, 
fedora/ssh, 22, , 
zabbix/zabbix-appliance, 100, Zabbix appliance with MySQL database support…, 
gobitfly/eth2-beaconchain-explorer, 12, , 
lihaixin/trojan, 4, , 
ljfranklin/terraform-resource, 3, , 
yexianyi/sap-hana, 6, This is for sap hana express 2.0., 
exoframe/server, 3, Exoframe is a self-hosted tool that allows s…, 
bretfisher/httpenv, 2, Tiny Go HTTP server that returns its environ…, 
chadmoon/gtk3-docker, 2, , 
ulboralabs/ulboracms, 2, This is Docker Ulbora CMS running Ubuntu, 
joplin/server, 85, Official Joplin Server Docker Images, 
aveshagarwal/descheduler, 2, https://github.com/kubernetes-incubator/desc…, 
taterli/shadowsocks-tiny, 16, 更节约资源/适合低配垃圾鸡/非速度优化, 
dkrutskikh/dart_code_metrics_action, 2, Docker image for the GitHub Dart Code Metric…, 
hieven/terraform-visual-cli, 3, , 
nuodb/nuodb-ce, 6, NuoDB Community Edition, 
phusion/holy-build-box-64, 5, , 
neotys/neoload-controller, 5, NeoLoad® Controller for load and performance…, 
smclaren0/mernjs, 2, Build of appertly-mernjs, 
q4uw/httpredirector, 3, Ultra small 1.8MB Docker image HTTP to HTTPS…, 
trufflesuite/ganache-cli, 24, Command-line version of Ganache, a fast Ethe…, 
rhasselbaum/scrappy-sftp, 2, A multi-user SFTP server that emails transfe…, 
cthulhoo/ttrss-web-nginx, 6, nginx (frontend) container for dockerized tt…, 
newrelic/infrastructure, 17, Public image for New Relic Infrastructure Ag…, 
clamav/clamav, 21, The official docker images for the ClamAV pr…, 
fgabriel/rpi-influxdb, 5, Influxdb for RPI3., 
synesthesiam/rhasspy-server, 2, Server build of Rhasspy voice assistant with…, 
chirpstack/chirpstack-gateway-bridge, 8, ChirpStack Gateway Bridge, 
eboraas/apache, 92, Apache (with SSL/TLS support), built on Debi…, 
tiredofit/insync, 7, Docker Insync to synchronize Google Drive Fi…, 
iconloop/prep-node, 2, ICON Official Docker Images - This project w…, 
david0koller/xmv-owncloud-client, 2, Scripts for a Damn Small (Alpine) Linux Dock…, 
lzrbear/docker-apache2-ubuntu, 2, Apache 2 httpd running on Ubuntu, 
bezrukovp/nginx-bitrix, 2, Nginx image based alpine for bitrix., 
ugeek/zerotier, 5, Zerotier-one. ZeroTier creates secure networ…, 
mvisonneau/generatedata, 5, Docker version of the benkeen/generatedata p…, 
wavefronthq/cadvisor, 2, cAdvisor container for collecting container …, 
goncharovnikita/website, 2, My own website, 
tgbyte/freeradius, 3, Freeradius for Raspberry Pi., 
martin/wait, 3, Wait for ports in other containers or custom…, 
directus/directus, 75, Directus is an open-source "headless" CMS & …, 
ghost, 1517, Ghost is a free and open source blogging pla…, [OK]
fission/python-env, 2, , 
tuxmealux/alpine-rtorrent, 6, Dockerized rTorrent based on Alpine Linux, m…, 
slskd/slskd, 3, slskd, 
reimashi/emule, 5, , 
nuxeo/nuxeo, 5, Nuxeo is an open source Content Management P…, 
moby/buildkit, 26, concurrent, cache-efficient, and Dockerfile-…, 
inzh/qinglong, 10, 青龙2.8+Ninja扫码, 
smebberson/alpine-nodejs, 3, Alpine Linux, s6 process management running …, 
vfac/php7compatibility, 3, Check the PHP 7.x compatibility of your sour…, 
beznosa/openvpn-mikrotik, 4, OpenVPN build for using with mikrotik as a c…, 
danchitnis/xrdp, 2, Running remote desktop xrdp services (both X…, 
linuxserver/ffmpeg, 65, , 
technosophos/slack-notify, 3, Send bot notifications to a Slack channel vi…, 
juanluisbaptiste/znuny, 3, Znuny ((OTRS)) Community Edition Fork with l…, 
afritzler/caffe-docker-classifier, 4, Set up your own classifier API based on pre-…, 
frappe/erpnext-worker, 49, Python environment with Frappe framework and…, 
npalm/graphiql, 5, GraphiQL webclient, 
freeflyer/wetty, 5, Wetty web terminal, 
hpccsystems/platform-core, 2, , 
f5usecases/f5-rs-container, 2, launchpad container for f5 solutions as code, 
whhoesj/mopidy, 6, Mopidy in Docker, 
nlpbox/corenlp, 11, run the Stanford CoreNLP server in a docker …, 
ctlc/mysql, 7, , 
slpcat/gitlab-ce, 3, gitlab-ce最新社区版10.1.0，omnibus二进制包, 
mher/flower, 31, Automated Build for https://github.com/mher/…, 
bibbox/redcap, 3, Survey Management System, 
percona, 580, Percona Server is a fork of the MySQL relati…, [OK]
eaudeweb/lcc-toolkit, 3, A web application which stands as a toolkit …, 
philplckthun/strongswan, 30, Base docker image to run a Strongswan IPsec …, 
kalaksi/tftpd, 2, Dockerized TFTP server configured for PXE bo…, 
maxking/mailman-core, 11, GNU Mailman 3 Core., 
fpfis/php56-dev, 7, php56-dev, 
wangshun1024/ingress-nginx-controller, 3, , 
sdhibit/emby, 2, , 
axisecp/acap-toolchain, 14, AXIS Camera Application Platform SDK - Toolc…, 
tico/docker, 8, docker:stable image with custom tools, 
sflyr/sqlplus, 18, Oracle SQLplus client-in-a-docker, 
scyto/docker-homeseer4beta, 2, Fork of https://hub.docker.com/r/marthoc/hom…, 
88lex/safire, 2, , 
geerlingguy/docker-ubuntu1804-ansible, 14, Ubuntu 18.04 LTS (Bionic) Docker container f…, 
uretgec/beanstalkd-alpine, 3, Beanstalkd:1.10 - Alpine:3.4, 
msvechla/vaultbot, 8, Vaultbot is a Hashicorp Vault PKI client, bu…, 
haveagitgat/tdarr_aio, 11, Tdarr V1 - Audio/Video library transcoding a…, 
bmctruesightpulse/meter, 2, Docker container for the BMC TrueSight Pulse…, 
tylere/scipyserver-ee, 2, Docker container for the SciPy stack, IPytho…, 
